,most_frequent_secs_elapsed,age,most_frequent_action,most_frequent_action_detail,first_browser,gender,most_frequent_action_type,affiliate_channel,most_frequent_device_type,first_device_type,first_affiliate_tracked,language,signup_method,affiliate_provider,signup_app,signup_flow
0,79.0,35.0,109,81,17,1,2,1,0,8,6,6,1,4,1,0
1,95.0,28.0,41,22,17,0,8,1,0,8,6,6,0,4,1,0
2,768.0,28.0,110,81,5,0,2,1,9,6,0,6,0,4,2,0
3,5.0,28.0,87,83,11,0,3,1,9,6,0,6,0,4,2,0
4,0.0,28.0,104,50,23,0,8,1,6,3,6,6,0,4,2,0
5,58.0,28.0,41,22,5,1,8,4,9,6,3,6,0,8,2,0
6,11.0,48.0,114,31,0,2,3,1,12,8,6,6,0,4,3,25
7,18.0,28.0,25,0,5,0,0,1,6,3,6,6,0,4,2,0
8,1.0,28.0,114,81,5,0,8,1,6,3,6,6,0,4,2,0
9,21.0,28.0,114,48,9,0,8,5,9,6,3,6,0,8,2,0
10,401.0,28.0,19,16,9,0,3,1,9,6,6,6,0,4,2,0
11,2.0,30.0,114,74,0,1,8,1,12,8,6,6,0,4,3,25
12,221.0,24.0,21,26,23,2,3,1,6,3,0,6,1,4,2,0
13,401.0,28.0,38,21,5,0,3,1,6,3,0,6,0,4,2,0
14,31.0,28.0,114,81,17,0,8,1,11,7,6,6,0,4,1,0
15,12.0,56.0,114,48,5,1,8,1,9,6,0,6,0,4,2,0
16,0.0,28.0,26,46,17,0,6,1,12,8,6,6,0,4,2,0
17,0.0,30.0,17,0,5,0,2,1,9,6,0,6,0,4,2,0
18,49.0,33.0,58,81,11,1,8,1,8,1,3,6,0,4,2,0
19,22.0,31.0,114,81,5,2,3,6,9,6,0,6,1,8,2,0
20,0.0,53.0,104,50,23,1,8,4,6,3,0,6,0,8,2,0
21,80.0,28.0,58,81,9,0,8,1,6,3,6,6,0,4,2,0
22,338.0,35.0,58,0,5,2,0,6,9,6,0,6,1,8,2,0
23,141.0,28.0,132,69,9,0,7,1,6,3,6,6,0,4,2,0
24,171.0,28.0,41,22,5,0,8,5,9,6,3,6,0,8,2,0
25,37.0,34.0,114,0,17,2,0,1,12,8,0,6,0,4,1,0
26,25.0,25.0,114,48,5,1,8,4,6,3,3,6,0,8,2,0
27,23.0,28.0,114,48,11,0,8,4,9,6,3,6,0,1,2,0
28,14.0,27.0,12,0,5,0,0,1,6,3,4,6,0,4,2,0
29,3.0,28.0,114,48,17,0,8,4,11,7,0,6,0,8,2,0
30,15.0,28.0,114,0,5,1,8,1,6,3,0,6,0,4,2,8
31,61.0,33.0,106,0,17,2,3,1,0,8,6,6,1,4,1,0
32,734.0,28.0,53,26,5,0,3,6,9,6,0,6,0,6,2,0
33,2.0,32.0,87,83,23,2,3,4,6,3,3,6,1,8,2,0
34,121.0,28.0,114,81,23,0,8,1,6,3,0,6,0,4,2,0
35,254.0,30.0,46,0,9,0,8,1,9,6,3,6,0,4,2,0
36,0.0,59.0,72,0,5,1,0,1,9,6,6,6,1,4,2,0
37,102.0,27.0,58,81,6,2,8,6,12,8,6,6,0,6,1,0
38,33.0,57.0,58,0,11,2,8,5,9,6,3,6,0,8,2,0
39,23.0,26.0,114,48,23,2,8,4,6,3,3,6,0,8,2,0
40,6.0,28.0,119,14,23,0,2,1,6,3,6,6,0,4,2,0
41,0.0,36.0,104,81,5,1,8,1,6,3,0,6,0,4,2,0
42,31.0,27.0,114,0,23,1,8,1,6,3,0,4,0,4,2,0
43,39.0,35.0,114,48,2,1,8,1,9,0,6,6,0,4,2,0
44,278.0,22.0,21,26,11,1,3,4,9,6,3,6,1,1,2,0
45,18.0,31.0,114,0,0,1,0,1,2,0,6,23,0,4,0,23
46,29.0,28.0,114,48,23,0,8,4,6,3,0,6,0,8,2,0
47,1.0,28.0,114,0,9,0,2,4,9,6,3,6,0,8,2,0
48,65.0,26.0,132,69,0,2,7,1,12,8,6,6,1,4,3,25
49,47.0,30.0,58,81,9,1,8,1,6,3,6,6,1,4,2,0
50,190.0,28.0,77,1,23,0,8,1,6,3,6,6,0,4,2,0
51,27.0,28.0,114,83,11,1,8,4,9,6,3,6,0,8,2,0
52,0.0,51.0,104,0,23,1,8,1,6,3,6,6,0,4,2,0
53,7.0,28.0,14,14,23,0,2,1,6,3,3,6,0,4,2,0
54,0.0,28.0,38,21,9,0,7,4,6,3,3,9,0,8,2,0
55,216.0,24.0,21,33,23,2,7,3,6,3,2,6,1,8,2,0
56,240.0,30.0,41,22,5,2,8,1,9,6,0,6,0,4,2,0
57,43.0,28.0,114,48,9,0,3,1,9,6,6,6,0,4,2,0
58,54.0,38.0,114,14,5,0,2,5,9,6,3,6,0,8,2,0
59,31.0,28.0,114,74,0,0,3,1,12,8,6,6,0,4,3,25
60,26.0,22.0,114,0,0,2,0,1,12,8,6,6,1,4,3,25
61,1.0,28.0,58,81,23,0,8,4,6,3,6,6,0,8,2,0
62,24.0,48.0,114,0,5,1,0,4,12,3,3,6,0,8,2,0
63,156.0,39.0,109,81,17,1,2,1,0,8,0,6,1,4,1,0
64,32.0,28.0,114,0,2,0,3,1,0,0,0,6,0,4,1,0
65,74.0,47.0,58,81,9,1,8,1,6,3,6,6,0,4,2,0
66,374.0,24.0,114,48,0,2,8,1,2,0,6,6,1,4,0,23
67,0.0,47.0,114,69,23,2,8,1,6,3,6,6,1,4,2,0
68,124.0,28.0,114,81,17,2,8,1,11,7,0,6,0,4,2,0
