,most_frequent_secs_elapsed,age,most_frequent_action,most_frequent_action_detail,first_browser,gender,most_frequent_action_type,affiliate_channel,most_frequent_device_type,first_device_type,first_affiliate_tracked,language,signup_method,affiliate_provider,signup_app,signup_flow
0,2.0,62,114,75,6,2,3,6,8,6,3,5,0,7,2,0
1,0.0,32,22,14,17,1,4,7,10,7,0,5,1,7,2,0
2,37.0,19,87,75,23,0,3,5,6,3,6,5,0,7,2,0
3,149.0,25,114,75,6,2,2,2,6,3,6,5,0,3,2,0
4,387.0,32,22,0,17,1,6,2,11,7,6,5,1,3,2,0
5,4.0,76,114,73,17,0,2,7,10,7,6,5,0,14,2,0
6,57.0,30,52,0,17,2,0,2,0,7,0,5,0,3,2,0
7,154.0,27,114,0,6,1,2,7,6,3,0,23,1,7,2,0
8,0.0,30,114,0,17,2,7,5,10,7,3,5,0,7,2,0
9,14.0,23,114,0,6,2,7,2,6,3,0,5,0,3,2,0
10,30.0,30,114,0,0,1,0,2,11,8,6,5,0,3,3,25
11,55.0,39,15,0,17,2,2,2,10,7,6,5,1,3,2,0
12,71.0,27,62,0,0,1,0,0,11,8,6,5,1,11,3,12
13,219.0,40,110,73,6,2,2,2,6,3,0,5,0,3,2,0
14,419.0,35,24,25,23,1,3,4,6,3,3,5,1,7,2,0
15,449.0,48,56,0,17,2,0,0,10,7,6,5,1,11,3,12
16,668.0,25,43,0,23,2,0,5,6,3,0,5,0,7,2,0
17,1.0,35,15,11,6,1,2,5,8,6,3,5,0,7,2,0
18,207.0,24,131,0,23,2,0,2,6,3,0,5,0,3,2,0
19,45.0,26,4,0,0,1,0,0,0,8,6,5,1,11,3,12
20,0.0,29,114,36,0,2,4,2,11,8,6,23,0,3,3,25
21,56.0,60,114,0,17,2,3,4,10,7,3,5,0,7,2,0
22,609.0,42,106,45,23,2,7,3,6,3,0,5,0,6,2,0
23,49.0,40,4,0,0,2,0,0,0,8,6,5,1,11,3,12
24,19.0,54,131,0,23,1,0,2,6,3,0,5,0,3,2,0
25,113.0,40,114,0,0,2,0,0,1,4,6,5,1,11,0,12
