date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,most_frequent_action
2014-01-01,2014-01-01,2014-01-04,MALE,62,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,other,show
2014-01-01,2014-01-01,2014-01-07,FEMALE,32,facebook,0,en,seo,google,linked,Web,iPad,Mobile Safari,US,ask_question
2014-01-01,2014-01-01,2014-12-04,-unknown-,19,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,other,personalize
2014-01-01,2014-01-01,2014-01-02,FEMALE,32,facebook,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,US,ask_question
2014-01-01,2014-01-01,2014-12-18,-unknown-,76,basic,0,en,seo,yahoo,untracked,Web,iPad,Mobile Safari,other,show
2014-01-01,2014-01-01,2014-04-19,FEMALE,27,facebook,0,zh,seo,google,linked,Web,Mac Desktop,Chrome,FR,show
2014-01-01,2014-01-01,2014-01-02,MALE,30,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,show
2014-01-01,2014-01-01,2014-02-26,MALE,40,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,search_results
2014-01-01,2014-01-01,2014-01-01,MALE,25,basic,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,US,create
2014-01-01,2014-01-01,2014-01-01,FEMALE,35,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,ajax_refresh_subtotal
2014-01-01,2014-01-01,2014-05-27,MALE,60,basic,0,en,remarketing,google,omg,Web,iPad,Mobile Safari,US,show
2014-01-01,2014-01-01,2014-01-01,MALE,42,basic,0,en,other,facebook-open-graph,linked,Web,Mac Desktop,Safari,US,requested
2014-01-01,2014-01-01,2014-08-27,MALE,22,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,show
2014-01-01,2014-01-01,2014-03-12,MALE,25,facebook,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,other,show
2014-01-01,2014-01-01,2014-07-28,MALE,34,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,other,show
2014-01-01,2014-01-01,2014-01-02,MALE,35,facebook,12,en,api,other,untracked,iOS,iPhone,Mobile Safari,other,active
2014-01-01,2014-01-01,2014-03-24,MALE,47,basic,24,en,direct,direct,linked,Moweb,Mac Desktop,Chrome,GB,tos_confirm
2014-01-01,2014-01-01,2014-01-02,MALE,38,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,show
2014-01-01,2014-01-01,2014-03-25,FEMALE,54,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,show
2014-01-01,2014-01-01,2014-12-16,-unknown-,24,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,show
2014-01-01,2014-01-01,2014-01-06,FEMALE,29,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other,create
2014-01-01,2014-01-01,2014-01-01,MALE,37,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,index
2014-01-01,2014-01-01,2014-01-09,FEMALE,45,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,IT,show
2014-01-01,2014-01-01,2014-01-01,FEMALE,34,basic,24,en,direct,direct,untracked,Moweb,Android Phone,Chrome Mobile,IT,show
2014-01-01,2014-01-01,2014-01-07,FEMALE,40,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US,show
2014-01-01,2014-01-01,2014-05-08,FEMALE,31,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,ajax_photo_widget_form_iframe
2014-01-01,2014-01-01,2014-01-01,-unknown-,27,basic,25,en,direct,direct,untracked,iOS,Android Phone,Chrome Mobile,US,show
2014-01-01,2014-01-01,2014-07-24,MALE,42,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,US,index
2014-01-01,2014-01-01,2014-01-21,FEMALE,36,facebook,0,en,direct,direct,omg,Web,iPad,Mobile Safari,US,personalize
2014-01-02,2014-01-02,2014-01-02,MALE,39,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,other,show
2014-01-02,2014-01-02,2014-01-06,-unknown-,36,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,search_results
2014-01-02,2014-01-02,2014-02-28,MALE,36,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,update
2014-01-02,2014-01-02,2014-01-02,FEMALE,24,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-01-02,MALE,26,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-01-02,MALE,50,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,other,create
2014-01-02,2014-01-02,2014-01-10,MALE,27,facebook,12,en,api,other,untracked,iOS,iPhone,Mobile Safari,AU,authenticate
2014-01-02,2014-01-02,2014-01-13,FEMALE,22,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,GB,show
2014-01-02,2014-01-02,2014-01-15,FEMALE,29,facebook,0,en,seo,google,linked,Web,Mac Desktop,Chrome,other,authenticate
2014-01-02,2014-01-02,2014-01-15,-unknown-,54,basic,0,en,sem-brand,google,untracked,Web,Mac Desktop,Safari,US,requested
2014-01-02,2014-01-02,2014-01-05,MALE,29,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU,search_results
2014-01-02,2014-01-02,2014-01-02,MALE,33,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,dashboard
2014-01-02,2014-01-02,2014-04-28,-unknown-,61,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,show
2014-01-02,2014-01-02,2014-05-19,FEMALE,33,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,create
2014-01-02,2014-01-02,2014-01-03,-unknown-,37,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,lookup
2014-01-02,2014-01-02,2014-03-11,FEMALE,29,basic,0,en,sem-brand,google,linked,Web,iPad,Mobile Safari,CA,show
2014-01-02,2014-01-02,2014-01-03,FEMALE,59,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,show
2014-01-02,2014-01-02,2014-01-03,MALE,39,facebook,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,search_results
2014-01-02,2014-01-02,2014-01-02,MALE,25,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,create
2014-01-02,2014-01-02,2014-01-02,MALE,24,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,IT,show
2014-01-02,2014-01-02,2014-01-02,-unknown-,45,basic,23,en,direct,direct,untracked,Android,Other/Unknown,-unknown-,US,index
2014-01-02,2014-01-02,2014-01-02,MALE,31,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other,requested
2014-01-02,2014-01-02,2014-02-11,FEMALE,33,facebook,0,zh,seo,facebook,linked,Web,Android Tablet,IE,US,calendar_tab_inner2
2014-01-02,2014-01-02,2014-12-17,FEMALE,28,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US,show
2014-01-02,2014-01-02,2014-01-02,-unknown-,26,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,requested
2014-01-02,2014-01-02,2014-05-10,-unknown-,62,basic,0,en,direct,direct,untracked,Web,Windows Desktop,AOL Explorer,IT,show
2014-01-02,2014-01-02,2014-01-02,MALE,38,basic,25,en,direct,direct,linked,iOS,Mac Desktop,Safari,US,ajax_photo_widget_form_iframe
2014-01-02,2014-01-02,2014-01-15,-unknown-,31,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR,lookup
2014-01-02,2014-01-02,2014-02-04,MALE,67,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,FR,faq
2014-01-02,2014-01-02,2014-01-02,-unknown-,42,basic,0,de,sem-non-brand,google,omg,Web,Windows Desktop,Firefox,US,search_results
