gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,most_frequent_action,most_frequent_action_type,most_frequent_action_detail,most_frequent_device_type,most_frequent_secs_elapsed
2,62,0,0,5,6,7,3,2,6,6,other,114,3,75,8,2.0
1,32,1,0,5,7,7,0,2,7,17,US,22,4,14,10,0.0
0,19,0,0,5,5,7,6,2,3,23,other,87,3,75,6,37.0
2,25,0,0,5,2,3,6,2,3,6,NDF,114,2,75,6,149.0
1,32,1,0,5,2,3,6,2,7,17,US,22,6,0,11,387.0
0,76,0,0,5,7,14,6,2,7,17,other,114,2,73,10,4.0
2,30,0,0,5,2,3,0,2,7,17,NDF,52,0,0,0,57.0
1,27,1,0,23,7,7,0,2,3,6,FR,114,2,0,6,154.0
2,30,0,0,5,5,7,3,2,7,17,US,114,7,0,10,0.0
2,23,0,0,5,2,3,0,2,3,6,NDF,114,7,0,6,14.0
1,30,0,25,5,2,3,6,3,8,0,NDF,114,0,0,11,30.0
2,39,1,0,5,2,3,6,2,7,17,NDF,15,2,0,10,55.0
1,27,1,12,5,0,11,6,3,8,0,NDF,62,0,0,11,71.0
2,40,0,0,5,2,3,0,2,3,6,US,110,2,73,6,219.0
1,35,1,0,5,4,7,3,2,3,23,NDF,24,3,25,6,419.0
2,48,1,12,5,0,11,6,3,7,17,NDF,56,0,0,10,449.0
2,25,0,0,5,5,7,0,2,3,23,US,43,0,0,6,668.0
1,35,0,0,5,5,7,3,2,6,6,US,15,2,11,8,1.0
2,24,0,0,5,2,3,0,2,3,23,NDF,131,0,0,6,207.0
1,26,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,45.0
2,29,0,25,23,2,3,6,3,8,0,US,114,4,36,11,0.0
2,60,0,0,5,4,7,3,2,7,17,US,114,3,0,10,56.0
2,42,0,0,5,3,6,0,2,3,23,US,106,7,45,6,609.0
2,40,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,49.0
1,54,0,0,5,2,3,0,2,3,23,NDF,131,0,0,6,19.0
2,40,1,12,5,0,11,6,0,4,0,NDF,114,0,0,1,113.0
2,22,1,0,5,2,3,0,2,3,6,US,114,2,73,6,32.0
2,25,1,12,5,0,11,6,0,4,0,other,114,0,0,1,52.0
2,29,1,0,5,2,3,0,2,2,6,NDF,24,6,32,5,316.0
2,41,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,80.0
2,22,0,25,5,2,3,6,3,8,17,NDF,24,2,13,11,474.0
2,25,1,0,5,5,7,3,2,3,6,NDF,110,2,73,6,385.0
1,57,1,0,5,5,7,3,2,3,23,NDF,114,7,75,6,21.0
1,47,0,0,5,5,7,3,2,7,17,NDF,87,0,0,10,8.0
2,46,0,0,5,2,3,6,2,3,6,NDF,85,0,0,6,27.0
2,29,1,12,5,0,11,6,3,3,6,NDF,4,0,0,0,490.0
0,26,0,0,5,5,7,3,2,3,23,NDF,87,7,73,6,42.0
2,24,1,0,5,2,3,0,2,3,23,NDF,110,2,73,6,10.0
2,34,0,0,5,2,3,6,2,6,11,other,114,2,59,8,3.0
2,24,1,12,5,0,11,6,3,4,0,NDF,4,0,0,0,63.0
0,25,0,0,5,6,7,3,2,3,23,NDF,114,7,43,6,55.0
2,35,1,12,5,0,11,6,3,8,17,other,4,0,0,0,153.0
2,47,0,24,5,2,3,0,1,3,6,GB,126,0,0,0,64.0
2,68,0,0,5,2,3,6,2,3,23,NDF,131,0,0,6,261.0
0,73,0,0,5,5,7,6,2,6,6,NDF,4,0,0,0,70.0
2,38,1,0,5,5,7,3,2,3,23,US,114,7,73,6,20.0
1,54,0,0,5,6,7,3,2,6,6,US,114,3,43,8,11.0
0,24,0,0,5,2,3,0,2,6,6,US,114,2,11,8,16.0
0,47,0,0,5,2,3,6,2,3,10,NDF,114,3,75,6,29.0
1,29,0,0,5,2,3,6,2,6,6,other,43,0,0,8,503.0
2,37,0,0,5,2,3,0,2,3,6,US,62,0,0,6,328.0
2,41,0,0,5,2,3,6,2,6,6,NDF,131,6,0,8,383.0
2,43,0,0,5,2,3,0,2,6,10,NDF,43,7,0,8,43.0
1,45,1,0,5,2,3,0,2,3,23,IT,114,2,11,6,107.0
1,27,1,0,5,2,3,6,2,8,17,NDF,70,2,73,6,10.0
1,46,0,0,5,2,3,3,2,3,23,NDF,43,0,0,6,52.0
1,25,0,0,8,2,3,0,2,6,11,NDF,114,3,11,8,144.0
1,34,0,24,5,2,3,6,1,0,7,IT,114,0,0,0,5.0
1,40,1,12,5,0,11,6,3,8,0,US,114,0,0,11,70.0
1,31,0,0,5,6,7,3,2,6,6,US,13,0,0,8,6.0
2,54,0,0,5,2,3,0,2,6,11,NDF,127,0,0,8,2.0
1,41,1,0,5,2,3,6,2,6,6,NDF,102,7,0,8,7.0
2,62,1,0,5,2,3,6,2,7,17,NDF,131,0,0,10,78.0
1,51,1,12,5,0,11,6,3,6,6,NDF,114,0,0,0,53.0
2,35,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,502.0
1,21,1,0,5,7,5,4,2,6,10,NDF,24,7,20,8,26.0
1,56,0,0,5,5,7,3,2,3,23,NDF,131,0,0,6,24.0
0,27,0,25,5,2,3,6,3,0,7,US,114,0,0,1,85.0
2,42,0,12,5,0,11,6,0,4,0,US,62,0,0,1,75.0
2,27,1,12,5,0,11,6,0,4,0,NDF,114,0,0,1,3.0
1,31,1,0,5,5,7,3,2,6,11,NDF,131,0,0,8,78.0
1,36,1,0,5,2,3,3,2,7,17,US,87,3,75,10,5.0
1,36,1,0,5,7,7,0,2,7,17,NDF,114,3,75,10,35.0
2,39,0,0,5,2,3,6,2,3,6,other,114,2,73,6,938.0
2,32,1,0,5,2,3,6,2,3,6,NDF,114,7,0,6,10.0
0,36,0,0,5,2,3,0,2,7,17,US,110,2,73,10,38.0
2,36,0,0,5,2,3,6,2,3,6,US,131,0,0,6,80.0
2,45,0,0,5,2,3,6,2,6,10,NDF,48,0,0,8,88.0
1,24,0,0,5,2,3,0,2,6,6,US,114,2,0,8,947.0
2,26,1,0,5,2,3,6,2,3,6,US,114,7,37,6,12.0
2,18,1,12,18,0,11,0,3,6,6,NDF,4,0,0,0,168.0
2,50,0,0,5,2,3,6,2,7,17,other,43,3,0,10,82.0
2,27,1,12,5,0,11,6,3,8,17,AU,24,0,0,11,52.0
1,22,1,0,5,5,7,3,2,3,6,GB,114,2,73,6,44.0
1,29,1,0,5,7,7,0,2,3,6,other,24,3,25,6,3647.0
0,54,0,0,5,5,7,6,2,3,23,US,106,7,45,6,0.0
1,41,1,0,12,6,7,3,2,3,23,NDF,114,3,43,6,20.0
2,29,1,0,5,2,3,6,2,3,23,AU,110,2,73,6,0.0
2,33,1,0,5,2,3,6,2,3,6,US,45,7,20,6,17.0
0,61,0,0,5,2,3,6,2,3,10,US,114,2,73,6,24.0
2,24,1,12,5,0,11,6,0,4,0,NDF,114,0,0,1,19.0
1,33,0,0,5,2,3,0,2,3,10,US,43,6,0,6,965.0
2,84,1,0,5,2,3,0,2,6,10,NDF,131,0,0,8,73.0
0,37,0,0,5,2,3,0,2,6,6,US,70,7,73,8,0.0
1,29,0,0,5,5,7,0,2,7,17,CA,114,7,0,10,32.0
1,59,0,0,5,2,3,0,2,6,11,US,114,0,0,8,6.0
2,39,1,0,5,5,7,3,2,7,17,US,110,2,73,10,17.0
2,25,0,0,5,2,3,0,2,3,6,US,43,3,19,6,4510.0
2,24,0,0,5,2,3,6,2,3,6,IT,114,3,73,6,0.0
0,45,0,23,5,2,3,6,0,4,0,US,62,0,0,1,6.0
2,37,1,0,5,2,3,6,2,6,6,NDF,114,3,75,8,8.0
1,55,1,0,5,2,3,6,2,6,11,NDF,24,0,0,8,278.0
2,23,0,0,8,6,7,6,2,6,10,NDF,87,3,75,8,1.0
2,31,0,0,5,2,3,0,2,3,6,other,106,7,45,6,52.0
0,56,0,0,5,7,7,0,2,6,6,NDF,60,0,0,8,10.0
1,31,1,12,5,0,11,3,3,3,6,NDF,4,0,0,0,47.0
1,33,1,0,23,7,5,0,2,1,11,US,27,0,0,7,452.0
2,34,1,0,5,2,3,6,2,3,23,NDF,110,2,73,6,4.0
1,28,1,0,5,2,3,6,2,7,17,NDF,114,3,73,10,15.0
1,28,1,12,5,0,11,6,3,8,0,US,114,0,0,11,36.0
0,26,0,0,5,5,7,3,2,7,17,US,106,7,36,10,0.0
0,62,0,0,5,2,3,6,2,6,1,IT,114,7,43,8,187.0
2,42,0,0,5,2,3,6,2,3,23,NDF,110,2,73,6,41.0
2,38,0,25,5,2,3,0,3,3,23,US,13,0,0,6,2.0
0,36,0,0,5,2,3,0,2,6,11,NDF,70,2,73,8,48.0
0,31,0,0,5,2,3,0,2,6,6,FR,70,3,73,8,25.0
2,67,0,0,5,5,7,3,2,3,23,FR,52,0,0,0,50.0
2,25,1,12,5,0,11,6,3,3,6,NDF,4,0,0,0,422.0
2,30,1,0,5,5,7,3,2,3,23,NDF,110,2,73,6,91.0
1,26,0,25,5,2,3,6,3,8,0,NDF,114,0,0,11,35.0
0,42,0,0,3,6,7,3,2,6,10,US,110,0,0,8,11.0
1,58,0,0,5,6,7,3,2,6,6,other,114,3,11,8,52.0
1,47,0,0,5,2,3,6,2,3,10,US,39,0,0,6,519.0
2,38,1,0,5,2,3,6,2,3,10,US,87,3,73,6,1.0
